FIT Profiler Report

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                              	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                               	|  -              	|  109165         	|  341.89         	|  100 %          	|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                  	|  7.0063         	|  40             	|  280.25         	|  81.97          	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                      	|  0.049417       	|  2482           	|  122.65         	|  35.874         	|
|  [LightningModule]FlowerLightModule.transfer_batch_to_device                                                                                                         	|  0.049331       	|  2482           	|  122.44         	|  35.812         	|
|  run_training_batch                                                                                                                                                  	|  0.033779       	|  2080           	|  70.261         	|  20.55          	|
|  [LightningModule]FlowerLightModule.optimizer_step                                                                                                                   	|  0.033579       	|  2080           	|  69.844         	|  20.429         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                             	|  0.017856       	|  2080           	|  37.14          	|  10.863         	|
|  [_EvaluationLoop].val_next                                                                                                                                          	|  0.074483       	|  402            	|  29.942         	|  8.7578         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                          	|  0.013918       	|  2080           	|  28.95          	|  8.4675         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                        	|  0.013398       	|  2080           	|  27.868         	|  8.1512         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                      	|  0.0097812      	|  402            	|  3.932          	|  1.1501         	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.089212       	|  40             	|  3.5685         	|  1.0437         	|
|  save_checkpoint                                                                                                                                                     	|  0.076106       	|  46             	|  3.5009         	|  1.024          	|
|  [LightningModule]FlowerLightModule.optimizer_zero_grad                                                                                                              	|  0.0002404      	|  2080           	|  0.50004        	|  0.14625        	|
|  [Callback]RichProgressBar.on_train_batch_end                                                                                                                        	|  0.0001247      	|  2080           	|  0.25937        	|  0.075862       	|
|  [Callback]LearningRateMonitor.on_train_epoch_start                                                                                                                  	|  0.004564       	|  40             	|  0.18256        	|  0.053397       	|
|  [LightningModule]FlowerLightModule.configure_gradient_clipping                                                                                                      	|  2.9453e-05     	|  2080           	|  0.061262       	|  0.017918       	|
|  [Callback]RichProgressBar.on_validation_batch_start                                                                                                                 	|  0.00011483     	|  402            	|  0.046163       	|  0.013502       	|
