FIT Profiler Report

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                              	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                               	|  -              	|  108981         	|  424.78         	|  100 %          	|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                  	|  9.0277         	|  40             	|  361.11         	|  85.012         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                      	|  0.054202       	|  2482           	|  134.53         	|  31.671         	|
|  [LightningModule]FlowerLightModule.transfer_batch_to_device                                                                                                         	|  0.054081       	|  2482           	|  134.23         	|  31.6           	|
|  run_training_batch                                                                                                                                                  	|  0.044444       	|  2080           	|  92.444         	|  21.763         	|
|  [LightningModule]FlowerLightModule.optimizer_step                                                                                                                   	|  0.044145       	|  2080           	|  91.822         	|  21.617         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                        	|  0.025881       	|  2080           	|  53.832         	|  12.673         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                          	|  0.021031       	|  2080           	|  43.743         	|  10.298         	|
|  [_EvaluationLoop].val_next                                                                                                                                          	|  0.10824        	|  402            	|  43.513         	|  10.244         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                             	|  0.015033       	|  2080           	|  31.269         	|  7.3614         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                      	|  0.020166       	|  402            	|  8.1067         	|  1.9085         	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.070209       	|  40             	|  2.8084         	|  0.66114        	|
|  save_checkpoint                                                                                                                                                     	|  0.11805        	|  23             	|  2.7152         	|  0.6392         	|
|  [LightningModule]FlowerLightModule.optimizer_zero_grad                                                                                                              	|  0.00040861     	|  2080           	|  0.84992        	|  0.20009        	|
|  [Callback]RichProgressBar.on_train_batch_end                                                                                                                        	|  0.00014798     	|  2080           	|  0.3078         	|  0.072461       	|
|  [Callback]LearningRateMonitor.on_train_epoch_start                                                                                                                  	|  0.006827       	|  40             	|  0.27308        	|  0.064288       	|
|  [Callback]RichProgressBar.on_validation_batch_start                                                                                                                 	|  0.00019898     	|  402            	|  0.079991       	|  0.018831       	|
|  [LightningModule]FlowerLightModule.configure_gradient_clipping                                                                                                      	|  3.2257e-05     	|  2080           	|  0.067094       	|  0.015795       	|
|  [Callback]RichProgressBar.on_train_epoch_start                                                                                                                      	|  0.001277       	|  40             	|  0.051079       	|  0.012025       	|
|  [LightningModule]FlowerLightModule.on_validation_model_eval                                                                                                         	|  0.0011609      	|  41             	|  0.047598       	|  0.011205       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  2.1366e-05     	|  2080           	|  0.044441       	|  0.010462       	|
|  [LightningModule]FlowerLightModule.on_validation_model_zero_grad                                                                                                    	|  0.0010354      	|  40             	|  0.041417       	|  0.0097504      	|
|  [Callback]PostFreezeModelSummary.on_train_epoch_start                                                                                                               	|  0.00089513     	|  40             	|  0.035805       	|  0.0084292      	|
|  [Callback]LearningRateMonitor.on_train_batch_start                                                                                                                  	|  1.3864e-05     	|  2080           	|  0.028836       	|  0.0067886      	|
|  [Callback]RichProgressBar.on_train_epoch_end                                                                                                                        	|  0.00071814     	|  40             	|  0.028725       	|  0.0067625      	|
|  [Callback]PostFreezeModelSummary.on_train_start                                                                                                                     	|  0.026578       	|  1              	|  0.026578       	|  0.006257       	|
|  [Callback]ProgressiveBackboneFinetuning.on_train_epoch_start                                                                                                        	|  0.00053689     	|  40             	|  0.021476       	|  0.0050558      	|
|  [Callback]RichProgressBar.on_validation_batch_end                                                                                                                   	|  3.0291e-05     	|  402            	|  0.012177       	|  0.0028667      	|
|  [LightningModule]FlowerLightModule.on_validation_epoch_end                                                                                                          	|  0.00026839     	|  41             	|  0.011004       	|  0.0025905      	|
|  [Callback]LearningRateMonitor.on_after_backward                                                                                                                     	|  5.0553e-06     	|  2080           	|  0.010515       	|  0.0024754      	|
|  [Callback]RichProgressBar.on_sanity_check_start                                                                                                                     	|  0.010155       	|  1              	|  0.010155       	|  0.0023907      	|
|  [LightningModule]FlowerLightModule.on_train_epoch_end                                                                                                               	|  0.00020951     	|  40             	|  0.0083804      	|  0.0019729      	|
|  [Callback]RichProgressBar.on_validation_end                                                                                                                         	|  0.00018012     	|  41             	|  0.007385       	|  0.0017386      	|
|  [Callback]LearningRateMonitor.on_before_zero_grad                                                                                                                   	|  2.9712e-06     	|  2080           	|  0.0061801      	|  0.0014549      	|
|  [Callback]RichProgressBar.teardown                                                                                                                                  	|  0.0058115      	|  1              	|  0.0058115      	|  0.0013681      	|
|  [Callback]LearningRateMonitor.on_train_batch_end                                                                                                                    	|  2.6832e-06     	|  2080           	|  0.005581       	|  0.0013139      	|
|  [Callback]LearningRateMonitor.on_before_backward                                                                                                                    	|  2.2799e-06     	|  2080           	|  0.0047421      	|  0.0011164      	|
|  [LightningModule]FlowerLightModule.on_after_batch_transfer                                                                                                          	|  1.8942e-06     	|  2482           	|  0.0047015      	|  0.0011068      	|
|  [Callback]ProgressiveBackboneFinetuning.on_train_batch_start                                                                                                        	|  2.1623e-06     	|  2080           	|  0.0044975      	|  0.0010588      	|
|  [Callback]ProgressiveBackboneFinetuning.on_after_backward                                                                                                           	|  1.861e-06      	|  2080           	|  0.0038708      	|  0.00091126     	|
|  [Callback]LearningRateMonitor.on_before_optimizer_step                                                                                                              	|  1.8117e-06     	|  2080           	|  0.0037683      	|  0.00088713     	|
|  [LightningModule]FlowerLightModule.on_before_batch_transfer                                                                                                         	|  1.5147e-06     	|  2482           	|  0.0037595      	|  0.00088506     	|
|  [Callback]PostFreezeModelSummary.on_after_backward                                                                                                                  	|  1.7836e-06     	|  2080           	|  0.0037098      	|  0.00087336     	|
|  [Callback]ProgressiveBackboneFinetuning.on_train_batch_end                                                                                                          	|  1.6437e-06     	|  2080           	|  0.0034188      	|  0.00080485     	|
|  [Callback]RichProgressBar.on_train_batch_start                                                                                                                      	|  1.616e-06      	|  2080           	|  0.0033613      	|  0.00079131     	|
|  [LightningModule]FlowerLightModule.on_train_batch_end                                                                                                               	|  1.5848e-06     	|  2080           	|  0.0032964      	|  0.00077603     	|
