FIT Profiler Report

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                              	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                               	|  -              	|  108829         	|  432.83         	|  100 %          	|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                  	|  9.105          	|  40             	|  364.2          	|  84.144         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                      	|  0.052882       	|  2482           	|  131.25         	|  30.325         	|
|  [LightningModule]FlowerLightModule.transfer_batch_to_device                                                                                                         	|  0.052763       	|  2482           	|  130.96         	|  30.256         	|
|  run_training_batch                                                                                                                                                  	|  0.047167       	|  2080           	|  98.108         	|  22.667         	|
|  [LightningModule]FlowerLightModule.optimizer_step                                                                                                                   	|  0.046858       	|  2080           	|  97.465         	|  22.518         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                        	|  0.026039       	|  2080           	|  54.162         	|  12.513         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                          	|  0.021593       	|  2080           	|  44.914         	|  10.377         	|
|  [_EvaluationLoop].val_next                                                                                                                                          	|  0.10699        	|  402            	|  43.011         	|  9.9372         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                             	|  0.015089       	|  2080           	|  31.385         	|  7.2511         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                      	|  0.020335       	|  402            	|  8.1748         	|  1.8887         	|
|  [LightningModule]FlowerLightModule.optimizer_zero_grad                                                                                                              	|  0.00041526     	|  2080           	|  0.86375        	|  0.19956        	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.016363       	|  40             	|  0.65453        	|  0.15122        	|
|  save_checkpoint                                                                                                                                                     	|  0.15225        	|  4              	|  0.60901        	|  0.14071        	|
|  [Callback]LearningRateMonitor.on_train_epoch_start                                                                                                                  	|  0.014916       	|  40             	|  0.59663        	|  0.13784        	|
|  [Callback]RichProgressBar.on_train_batch_end                                                                                                                        	|  0.00015071     	|  2080           	|  0.31348        	|  0.072426       	|
|  [Callback]RichProgressBar.on_validation_batch_start                                                                                                                 	|  0.00019497     	|  402            	|  0.078377       	|  0.018108       	|
|  [Callback]RichProgressBar.on_train_epoch_start                                                                                                                      	|  0.00172        	|  40             	|  0.068798       	|  0.015895       	|
|  [LightningModule]FlowerLightModule.configure_gradient_clipping                                                                                                      	|  3.2613e-05     	|  2080           	|  0.067836       	|  0.015673       	|
|  [Callback]PostFreezeModelSummary.on_train_epoch_start                                                                                                               	|  0.0012776      	|  40             	|  0.051103       	|  0.011807       	|
|  [LightningModule]FlowerLightModule.on_validation_model_eval                                                                                                         	|  0.0011645      	|  41             	|  0.047743       	|  0.011031       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  2.2089e-05     	|  2080           	|  0.045946       	|  0.010615       	|
|  [LightningModule]FlowerLightModule.on_validation_model_zero_grad                                                                                                    	|  0.0011337      	|  40             	|  0.045349       	|  0.010477       	|
|  [Callback]PostFreezeModelSummary.on_train_start                                                                                                                     	|  0.035822       	|  1              	|  0.035822       	|  0.0082762      	|
|  [Callback]RichProgressBar.on_train_epoch_end                                                                                                                        	|  0.00073351     	|  40             	|  0.02934        	|  0.0067787      	|
|  [Callback]LearningRateMonitor.on_train_batch_start                                                                                                                  	|  1.3888e-05     	|  2080           	|  0.028887       	|  0.006674       	|
|  [Callback]ProgressiveBackboneFinetuning.on_train_epoch_start                                                                                                        	|  0.00065054     	|  40             	|  0.026021       	|  0.006012       	|
|  [LightningModule]FlowerLightModule.on_validation_epoch_end                                                                                                          	|  0.00032115     	|  41             	|  0.013167       	|  0.0030422      	|
|  [Callback]RichProgressBar.on_validation_batch_end                                                                                                                   	|  2.8923e-05     	|  402            	|  0.011627       	|  0.0026863      	|
|  [Callback]RichProgressBar.teardown                                                                                                                                  	|  0.010982       	|  1              	|  0.010982       	|  0.0025372      	|
|  [LightningModule]FlowerLightModule.on_train_epoch_end                                                                                                               	|  0.0002722      	|  40             	|  0.010888       	|  0.0025155      	|
|  [Callback]LearningRateMonitor.on_after_backward                                                                                                                     	|  5.1746e-06     	|  2080           	|  0.010763       	|  0.0024867      	|
|  [Callback]RichProgressBar.on_validation_end                                                                                                                         	|  0.00020705     	|  41             	|  0.0084892      	|  0.0019613      	|
|  [Callback]LearningRateMonitor.on_before_zero_grad                                                                                                                   	|  3.0675e-06     	|  2080           	|  0.0063804      	|  0.0014741      	|
|  [Callback]LearningRateMonitor.on_train_batch_end                                                                                                                    	|  2.8777e-06     	|  2080           	|  0.0059857      	|  0.0013829      	|
|  [LightningModule]FlowerLightModule.on_after_batch_transfer                                                                                                          	|  1.9286e-06     	|  2482           	|  0.0047867      	|  0.0011059      	|
|  [Callback]ProgressiveBackboneFinetuning.on_train_batch_start                                                                                                        	|  2.2839e-06     	|  2080           	|  0.0047506      	|  0.0010976      	|
|  [Callback]LearningRateMonitor.on_before_backward                                                                                                                    	|  2.1608e-06     	|  2080           	|  0.0044944      	|  0.0010384      	|
|  [Callback]ProgressiveBackboneFinetuning.on_after_backward                                                                                                           	|  1.8642e-06     	|  2080           	|  0.0038775      	|  0.00089585     	|
|  [Callback]LearningRateMonitor.on_before_optimizer_step                                                                                                              	|  1.8365e-06     	|  2080           	|  0.0038199      	|  0.00088255     	|
|  [Callback]ProgressiveBackboneFinetuning.on_train_batch_end                                                                                                          	|  1.7959e-06     	|  2080           	|  0.0037355      	|  0.00086305     	|
|  [LightningModule]FlowerLightModule.on_before_batch_transfer                                                                                                         	|  1.4792e-06     	|  2482           	|  0.0036713      	|  0.00084821     	|
|  [LightningModule]FlowerLightModule.on_train_batch_end                                                                                                               	|  1.6746e-06     	|  2080           	|  0.0034831      	|  0.00080473     	|
|  [LightningModule]FlowerLightModule.on_after_backward                                                                                                                	|  1.6514e-06     	|  2080           	|  0.003435       	|  0.00079362     	|
|  [Callback]ProgressiveBackboneFinetuning.on_before_backward                                                                                                          	|  1.6275e-06     	|  2080           	|  0.0033853      	|  0.00078214     	|
|  [Callback]RichProgressBar.on_train_batch_start                                                                                                                      	|  1.6149e-06     	|  2080           	|  0.003359       	|  0.00077606     	|
|  [Callback]ProgressiveBackboneFinetuning.on_before_zero_grad                                                                                                         	|  1.5287e-06     	|  2080           	|  0.0031796      	|  0.00073461     	|
|  [Callback]PostFreezeModelSummary.on_before_zero_grad                                                                                                                	|  1.4966e-06     	|  2080           	|  0.003113       	|  0.00071922     	|
|  [Callback]ProgressiveBackboneFinetuning.on_before_optimizer_step                                                                                                    	|  1.4598e-06     	|  2080           	|  0.0030364      	|  0.00070153     	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_start     	|  1.4409e-06     	|  2080           	|  0.002997       	|  0.00069242     	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_zero_grad      	|  1.4061e-06     	|  2080           	|  0.0029246      	|  0.0006757      	|
|  [LightningModule]FlowerLightModule.on_train_batch_start                                                                                                             	|  1.3869e-06     	|  2080           	|  0.0028847      	|  0.00066648     	|
