FIT Profiler Report

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                              	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                               	|  -              	|  108941         	|  429.01         	|  100 %          	|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                  	|  9.0411         	|  40             	|  361.64         	|  84.298         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                      	|  0.053812       	|  2482           	|  133.56         	|  31.132         	|
|  [LightningModule]FlowerLightModule.transfer_batch_to_device                                                                                                         	|  0.053694       	|  2482           	|  133.27         	|  31.064         	|
|  run_training_batch                                                                                                                                                  	|  0.047075       	|  2080           	|  97.915         	|  22.824         	|
|  [LightningModule]FlowerLightModule.optimizer_step                                                                                                                   	|  0.046766       	|  2080           	|  97.272         	|  22.674         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                        	|  0.026211       	|  2080           	|  54.519         	|  12.708         	|
|  [_EvaluationLoop].val_next                                                                                                                                          	|  0.10484        	|  402            	|  42.145         	|  9.8239         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                          	|  0.019895       	|  2080           	|  41.383         	|  9.6461         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                             	|  0.015157       	|  2080           	|  31.527         	|  7.3489         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                      	|  0.020632       	|  402            	|  8.294          	|  1.9333         	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.065923       	|  40             	|  2.6369         	|  0.61466        	|
|  save_checkpoint                                                                                                                                                     	|  0.1428         	|  18             	|  2.5704         	|  0.59915        	|
|  [LightningModule]FlowerLightModule.optimizer_zero_grad                                                                                                              	|  0.00044935     	|  2080           	|  0.93465        	|  0.21786        	|
