FIT Profiler Report

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                              	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                               	|  -              	|  108853         	|  430.33         	|  100 %          	|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                  	|  9.0383         	|  40             	|  361.53         	|  84.013         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                      	|  0.053345       	|  2482           	|  132.4          	|  30.768         	|
|  [LightningModule]FlowerLightModule.transfer_batch_to_device                                                                                                         	|  0.053225       	|  2482           	|  132.1          	|  30.698         	|
|  run_training_batch                                                                                                                                                  	|  0.045845       	|  2080           	|  95.357         	|  22.159         	|
|  [LightningModule]FlowerLightModule.optimizer_step                                                                                                                   	|  0.045532       	|  2080           	|  94.707         	|  22.008         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                        	|  0.026173       	|  2080           	|  54.439         	|  12.651         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                          	|  0.021096       	|  2080           	|  43.881         	|  10.197         	|
|  [_EvaluationLoop].val_next                                                                                                                                          	|  0.10744        	|  402            	|  43.189         	|  10.036         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                             	|  0.015114       	|  2080           	|  31.437         	|  7.3053         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                      	|  0.020292       	|  402            	|  8.1573         	|  1.8956         	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.026479       	|  40             	|  1.0591         	|  0.24613        	|
|  save_checkpoint                                                                                                                                                     	|  0.14353        	|  7              	|  1.0047         	|  0.23348        	|
|  [LightningModule]FlowerLightModule.optimizer_zero_grad                                                                                                              	|  0.00040928     	|  2080           	|  0.8513         	|  0.19783        	|
|  [Callback]LearningRateMonitor.on_train_epoch_start                                                                                                                  	|  0.014989       	|  40             	|  0.59956        	|  0.13933        	|
|  [Callback]RichProgressBar.on_train_batch_end                                                                                                                        	|  0.00014795     	|  2080           	|  0.30774        	|  0.071514       	|
|  [Callback]RichProgressBar.on_validation_batch_start                                                                                                                 	|  0.00019412     	|  402            	|  0.078035       	|  0.018134       	|
|  [Callback]RichProgressBar.on_train_epoch_start                                                                                                                      	|  0.0017253      	|  40             	|  0.069013       	|  0.016037       	|
