FIT Profiler Report

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                              	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                               	|  -              	|  108981         	|  433.62         	|  100 %          	|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                  	|  9.0874         	|  40             	|  363.5          	|  83.828         	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                      	|  0.053634       	|  2482           	|  133.12         	|  30.7           	|
|  [LightningModule]FlowerLightModule.transfer_batch_to_device                                                                                                         	|  0.053514       	|  2482           	|  132.82         	|  30.631         	|
|  run_training_batch                                                                                                                                                  	|  0.045043       	|  2080           	|  93.689         	|  21.606         	|
|  [LightningModule]FlowerLightModule.optimizer_step                                                                                                                   	|  0.044739       	|  2080           	|  93.057         	|  21.46          	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                        	|  0.026316       	|  2080           	|  54.738         	|  12.623         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                          	|  0.022331       	|  2080           	|  46.449         	|  10.712         	|
|  [_EvaluationLoop].val_next                                                                                                                                          	|  0.10885        	|  402            	|  43.759         	|  10.092         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                             	|  0.015092       	|  2080           	|  31.392         	|  7.2395         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                      	|  0.02084        	|  402            	|  8.3777         	|  1.932          	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.072812       	|  40             	|  2.9125         	|  0.67167        	|
|  save_checkpoint                                                                                                                                                     	|  0.12234        	|  23             	|  2.8139         	|  0.64893        	|
|  [LightningModule]FlowerLightModule.optimizer_zero_grad                                                                                                              	|  0.00045444     	|  2080           	|  0.94523        	|  0.21799        	|
|  [Callback]LearningRateMonitor.on_train_epoch_start                                                                                                                  	|  0.01487        	|  40             	|  0.59482        	|  0.13717        	|
|  [Callback]RichProgressBar.on_train_batch_end                                                                                                                        	|  0.00014579     	|  2080           	|  0.30324        	|  0.069931       	|
|  [Callback]RichProgressBar.on_validation_batch_start                                                                                                                 	|  0.00019621     	|  402            	|  0.078876       	|  0.01819        	|
|  [Callback]RichProgressBar.on_train_epoch_start                                                                                                                      	|  0.0017825      	|  40             	|  0.071301       	|  0.016443       	|
|  [LightningModule]FlowerLightModule.configure_gradient_clipping                                                                                                      	|  3.2775e-05     	|  2080           	|  0.068172       	|  0.015722       	|
|  [Callback]PostFreezeModelSummary.on_train_epoch_start                                                                                                               	|  0.0013092      	|  40             	|  0.052369       	|  0.012077       	|
|  [LightningModule]FlowerLightModule.on_validation_model_eval                                                                                                         	|  0.0011763      	|  41             	|  0.04823        	|  0.011122       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  2.2019e-05     	|  2080           	|  0.045799       	|  0.010562       	|
|  [LightningModule]FlowerLightModule.on_validation_model_zero_grad                                                                                                    	|  0.001068       	|  40             	|  0.042719       	|  0.0098516      	|
|  [Callback]RichProgressBar.on_train_epoch_end                                                                                                                        	|  0.0007884      	|  40             	|  0.031536       	|  0.0072727      	|
|  [Callback]ProgressiveBackboneFinetuning.on_train_epoch_start                                                                                                        	|  0.00072747     	|  40             	|  0.029099       	|  0.0067106      	|
|  [Callback]LearningRateMonitor.on_train_batch_start                                                                                                                  	|  1.356e-05      	|  2080           	|  0.028204       	|  0.0065042      	|
|  [LightningModule]FlowerLightModule.on_train_epoch_end                                                                                                               	|  0.00041179     	|  40             	|  0.016472       	|  0.0037986      	|
|  [Callback]RichProgressBar.teardown                                                                                                                                  	|  0.013605       	|  1              	|  0.013605       	|  0.0031376      	|
|  [Callback]RichProgressBar.on_validation_batch_end                                                                                                                   	|  2.888e-05      	|  402            	|  0.01161        	|  0.0026774      	|
|  [LightningModule]FlowerLightModule.on_validation_epoch_end                                                                                                          	|  0.00026229     	|  41             	|  0.010754       	|  0.00248        	|
|  [Callback]LearningRateMonitor.on_after_backward                                                                                                                     	|  4.8875e-06     	|  2080           	|  0.010166       	|  0.0023444      	|
|  [Callback]RichProgressBar.on_validation_end                                                                                                                         	|  0.00020664     	|  41             	|  0.0084722      	|  0.0019538      	|
|  [Callback]PostFreezeModelSummary.on_train_start                                                                                                                     	|  0.0078441      	|  1              	|  0.0078441      	|  0.001809       	|
|  [Callback]LearningRateMonitor.on_before_zero_grad                                                                                                                   	|  2.9535e-06     	|  2080           	|  0.0061432      	|  0.0014167      	|
|  [Callback]LearningRateMonitor.on_train_batch_end                                                                                                                    	|  2.7125e-06     	|  2080           	|  0.005642       	|  0.0013011      	|
|  [LightningModule]FlowerLightModule.on_after_batch_transfer                                                                                                          	|  1.8644e-06     	|  2482           	|  0.0046275      	|  0.0010672      	|
|  [Callback]RichProgressBar.on_sanity_check_start                                                                                                                     	|  0.0046161      	|  1              	|  0.0046161      	|  0.0010645      	|
|  [Callback]LearningRateMonitor.on_before_backward                                                                                                                    	|  2.204e-06      	|  2080           	|  0.0045843      	|  0.0010572      	|
|  [Callback]ProgressiveBackboneFinetuning.on_train_batch_start                                                                                                        	|  2.1781e-06     	|  2080           	|  0.0045304      	|  0.0010448      	|
|  [LightningModule]FlowerLightModule.on_before_batch_transfer                                                                                                         	|  1.5439e-06     	|  2482           	|  0.003832       	|  0.00088372     	|
|  [Callback]LearningRateMonitor.on_before_optimizer_step                                                                                                              	|  1.841e-06      	|  2080           	|  0.0038292      	|  0.00088307     	|
|  [Callback]ProgressiveBackboneFinetuning.on_after_backward                                                                                                           	|  1.8406e-06     	|  2080           	|  0.0038285      	|  0.00088291     	|
