FIT Profiler Report

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                              	|  Mean duration (s)	|  Num calls      	|  Total time (s) 	|  Percentage %   	|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                               	|  -              	|  109109         	|  426.52         	|  100 %          	|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                  	|  9.0252         	|  40             	|  361.01         	|  84.64          	|
|  [Strategy]SingleDeviceStrategy.batch_to_device                                                                                                                      	|  0.051695       	|  2482           	|  128.31         	|  30.082         	|
|  [LightningModule]FlowerLightModule.transfer_batch_to_device                                                                                                         	|  0.051579       	|  2482           	|  128.02         	|  30.015         	|
|  run_training_batch                                                                                                                                                  	|  0.043339       	|  2080           	|  90.145         	|  21.135         	|
|  [LightningModule]FlowerLightModule.optimizer_step                                                                                                                   	|  0.043052       	|  2080           	|  89.548         	|  20.995         	|
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                          	|  0.02588        	|  2080           	|  53.83          	|  12.621         	|
|  [Strategy]SingleDeviceStrategy.training_step                                                                                                                        	|  0.025158       	|  2080           	|  52.328         	|  12.269         	|
|  [_EvaluationLoop].val_next                                                                                                                                          	|  0.10686        	|  402            	|  42.959         	|  10.072         	|
|  [Strategy]SingleDeviceStrategy.backward                                                                                                                             	|  0.014719       	|  2080           	|  30.615         	|  7.1778         	|
|  [Strategy]SingleDeviceStrategy.validation_step                                                                                                                      	|  0.019715       	|  402            	|  7.9255         	|  1.8582         	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_end       	|  0.11596        	|  40             	|  4.6385         	|  1.0875         	|
|  save_checkpoint                                                                                                                                                     	|  0.11523        	|  39             	|  4.4938         	|  1.0536         	|
|  [LightningModule]FlowerLightModule.optimizer_zero_grad                                                                                                              	|  0.00039958     	|  2080           	|  0.83113        	|  0.19486        	|
|  [Callback]LearningRateMonitor.on_train_epoch_start                                                                                                                  	|  0.014234       	|  40             	|  0.56938        	|  0.13349        	|
|  [Callback]RichProgressBar.on_train_batch_end                                                                                                                        	|  0.00014171     	|  2080           	|  0.29475        	|  0.069105       	|
|  [Callback]RichProgressBar.on_validation_batch_start                                                                                                                 	|  0.00019887     	|  402            	|  0.079946       	|  0.018744       	|
|  [Callback]RichProgressBar.on_train_epoch_start                                                                                                                      	|  0.00187        	|  40             	|  0.074801       	|  0.017537       	|
|  [LightningModule]FlowerLightModule.configure_gradient_clipping                                                                                                      	|  3.3084e-05     	|  2080           	|  0.068815       	|  0.016134       	|
|  [Callback]PostFreezeModelSummary.on_train_epoch_start                                                                                                               	|  0.0013176      	|  40             	|  0.052703       	|  0.012356       	|
|  [LightningModule]FlowerLightModule.on_validation_model_eval                                                                                                         	|  0.001147       	|  41             	|  0.047027       	|  0.011026       	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end       	|  2.0522e-05     	|  2080           	|  0.042686       	|  0.010008       	|
|  [LightningModule]FlowerLightModule.on_validation_model_zero_grad                                                                                                    	|  0.0010252      	|  40             	|  0.041007       	|  0.0096142      	|
|  [Callback]ProgressiveBackboneFinetuning.on_train_epoch_start                                                                                                        	|  0.00075925     	|  40             	|  0.03037        	|  0.0071203      	|
|  [Callback]RichProgressBar.on_train_epoch_end                                                                                                                        	|  0.0007223      	|  40             	|  0.028892       	|  0.0067739      	|
|  [Callback]LearningRateMonitor.on_train_batch_start                                                                                                                  	|  1.3374e-05     	|  2080           	|  0.027817       	|  0.0065218      	|
|  [Callback]PostFreezeModelSummary.on_train_start                                                                                                                     	|  0.024606       	|  1              	|  0.024606       	|  0.005769       	|
|  [Callback]RichProgressBar.teardown                                                                                                                                  	|  0.011747       	|  1              	|  0.011747       	|  0.0027541      	|
|  [Callback]RichProgressBar.on_validation_batch_end                                                                                                                   	|  2.7537e-05     	|  402            	|  0.01107        	|  0.0025954      	|
|  [Callback]LearningRateMonitor.on_after_backward                                                                                                                     	|  5.1512e-06     	|  2080           	|  0.010715       	|  0.0025121      	|
|  [LightningModule]FlowerLightModule.on_validation_epoch_end                                                                                                          	|  0.00025711     	|  41             	|  0.010541       	|  0.0024715      	|
|  [LightningModule]FlowerLightModule.on_train_epoch_end                                                                                                               	|  0.00024753     	|  40             	|  0.0099011      	|  0.0023214      	|
|  [Callback]RichProgressBar.on_validation_end                                                                                                                         	|  0.00018519     	|  41             	|  0.0075928      	|  0.0017802      	|
|  [Callback]RichProgressBar.on_sanity_check_start                                                                                                                     	|  0.0061503      	|  1              	|  0.0061503      	|  0.001442       	|
|  [Callback]LearningRateMonitor.on_before_zero_grad                                                                                                                   	|  2.9332e-06     	|  2080           	|  0.0061011      	|  0.0014304      	|
|  [Callback]LearningRateMonitor.on_train_batch_end                                                                                                                    	|  2.5937e-06     	|  2080           	|  0.0053948      	|  0.0012648      	|
|  [LightningModule]FlowerLightModule.on_after_batch_transfer                                                                                                          	|  1.826e-06      	|  2482           	|  0.0045322      	|  0.0010626      	|
|  [Callback]LearningRateMonitor.on_before_backward                                                                                                                    	|  2.1409e-06     	|  2080           	|  0.004453       	|  0.001044       	|
|  [Callback]ProgressiveBackboneFinetuning.on_train_batch_start                                                                                                        	|  2.0796e-06     	|  2080           	|  0.0043256      	|  0.0010142      	|
|  [LightningModule]FlowerLightModule.on_before_batch_transfer                                                                                                         	|  1.5291e-06     	|  2482           	|  0.0037952      	|  0.0008898      	|
|  [Callback]ProgressiveBackboneFinetuning.on_after_backward                                                                                                           	|  1.7946e-06     	|  2080           	|  0.0037328      	|  0.00087517     	|
|  [Callback]LearningRateMonitor.on_before_optimizer_step                                                                                                              	|  1.7945e-06     	|  2080           	|  0.0037325      	|  0.0008751      	|
|  [Callback]ProgressiveBackboneFinetuning.on_train_batch_end                                                                                                          	|  1.6763e-06     	|  2080           	|  0.0034867      	|  0.00081747     	|
|  [LightningModule]FlowerLightModule.on_after_backward                                                                                                                	|  1.6218e-06     	|  2080           	|  0.0033733      	|  0.00079088     	|
|  [Callback]RichProgressBar.on_train_batch_start                                                                                                                      	|  1.5434e-06     	|  2080           	|  0.0032102      	|  0.00075264     	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup                    	|  0.0031033      	|  1              	|  0.0031033      	|  0.00072758     	|
|  [Callback]ProgressiveBackboneFinetuning.on_before_zero_grad                                                                                                         	|  1.4838e-06     	|  2080           	|  0.0030862      	|  0.00072357     	|
|  [LightningModule]FlowerLightModule.on_train_batch_end                                                                                                               	|  1.4835e-06     	|  2080           	|  0.0030857      	|  0.00072346     	|
|  [Callback]ProgressiveBackboneFinetuning.on_before_backward                                                                                                          	|  1.4487e-06     	|  2080           	|  0.0030132      	|  0.00070646     	|
|  [Callback]ProgressiveBackboneFinetuning.on_before_optimizer_step                                                                                                    	|  1.4436e-06     	|  2080           	|  0.0030027      	|  0.000704       	|
|  [Callback]PostFreezeModelSummary.on_before_zero_grad                                                                                                                	|  1.4248e-06     	|  2080           	|  0.0029636      	|  0.00069483     	|
|  [Callback]ProgressiveBackboneFinetuning.setup                                                                                                                       	|  0.0028969      	|  1              	|  0.0028969      	|  0.00067919     	|
|  [LightningModule]FlowerLightModule.on_train_batch_start                                                                                                             	|  1.3732e-06     	|  2080           	|  0.0028563      	|  0.00066967     	|
|  [Callback]ModelCheckpoint{'monitor': 'val_acc', 'mode': 'max', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_zero_grad      	|  1.3641e-06     	|  2080           	|  0.0028373      	|  0.00066522     	|
|  [Callback]PostFreezeModelSummary.on_train_batch_start                                                                                                               	|  1.3566e-06     	|  2080           	|  0.0028217      	|  0.00066156     	|
