epoch,lr-SGD/pg1,lr-SGD/pg2,step,train_acc,train_loss,val_acc,val_loss
,0.001,0.1,0,,,,
0,,,51,,,0.8648208379745483,0.7625731229782104
0,,,51,0.567852258682251,2.2061221599578857,,
,0.001,0.1,52,,,,
1,,,103,,,0.9096091389656067,0.48257967829704285
1,,,103,0.9061211943626404,0.5366804003715515,,
,0.001,0.1,104,,,,
2,,,155,,,0.9242671132087708,0.3956787586212158
2,,,155,0.939093291759491,0.343123197555542,,
,0.001,0.1,156,,,,
3,,,207,,,0.9315961003303528,0.34605032205581665
3,,,207,0.9571057558059692,0.2577550411224365,,
,0.001,0.1,208,,,,
